Datetime,Nifty 50 (IN),S&P 500 (US),Nikkei 225 (JP),Hang Seng (HK),FTSE 100 (UK),DAX (DE),KOSPI (KR),Shanghai (CN)
2026-04-02 01:30:00+00:00,,,53113.48828125,25181.830078125,,,5344.14990234375,3940.569091796875
2026-04-02 01:35:00+00:00,,,53090.41015625,25179.310546875,,,5341.75,3944.405029296875
2026-04-02 01:40:00+00:00,,,53029.859375,25122.650390625,,,5302.9599609375,3946.044677734375
2026-04-02 01:45:00+00:00,,,52978.640625,25071.939453125,,,5308.509765625,3939.31884765625
2026-04-02 01:50:00+00:00,,,52954.91015625,25081.359375,,,5323.14013671875,3945.02685546875
2026-04-02 01:55:00+00:00,,,52975.96875,25074.689453125,,,5335.41015625,3947.228759765625
2026-04-02 02:00:00+00:00,,,52944.48046875,25042.16015625,,,5300.14013671875,3942.129150390625
2026-04-02 02:05:00+00:00,,,52884.46875,25066.279296875,,,5289.740234375,3941.849609375
2026-04-02 02:10:00+00:00,,,52734.48046875,25050.01953125,,,5267.91015625,3937.76220703125
2026-04-02 02:15:00+00:00,,,52814.859375,25043.9609375,,,5287.33984375,3932.440673828125
2026-04-02 02:20:00+00:00,,,52797.7109375,25026.869140625,,,5265.16015625,3933.563232421875
2026-04-02 02:25:00+00:00,,,52707.7109375,25037.970703125,,,5253.4501953125,3935.33349609375
2026-04-02 02:30:00+00:00,,,52731.94140625,25036.25,,,5263.490234375,3934.621826171875
2026-04-02 02:35:00+00:00,,,52731.94140625,25021.58984375,,,5249.27001953125,3931.376220703125
2026-04-02 02:40:00+00:00,,,52731.94140625,25041.0703125,,,5269.72998046875,3934.05517578125
2026-04-02 02:45:00+00:00,,,52731.94140625,25047.259765625,,,5269.9599609375,3934.490478515625
2026-04-02 02:50:00+00:00,,,52731.94140625,25043.55078125,,,5289.740234375,3935.522705078125
2026-04-02 02:55:00+00:00,,,52731.94140625,25046.060546875,,,5284.080078125,3934.263671875
2026-04-02 03:00:00+00:00,,,52731.94140625,25029.5703125,,,5258.5498046875,3932.205078125
2026-04-02 03:05:00+00:00,,,52731.94140625,25037.150390625,,,5269.9501953125,3927.404296875
2026-04-02 03:10:00+00:00,,,52731.94140625,25057.0,,,5278.169921875,3927.9423828125
2026-04-02 03:15:00+00:00,,,52731.94140625,25060.05078125,,,5275.91015625,3927.07861328125
2026-04-02 03:20:00+00:00,,,52731.94140625,25069.470703125,,,5286.240234375,3930.62841796875
2026-04-02 03:25:00+00:00,,,52731.94140625,25046.5703125,,,5278.68017578125,3927.669921875
2026-04-02 03:30:00+00:00,,,52615.1484375,25040.470703125,,,5267.27978515625,3927.6044921875
2026-04-02 03:35:00+00:00,,,52529.98046875,25027.23046875,,,5243.75,3927.6044921875
2026-04-02 03:40:00+00:00,,,52575.7890625,25020.310546875,,,5257.2998046875,3927.6044921875
2026-04-02 03:45:00+00:00,,,52520.9296875,25020.330078125,,,5244.31982421875,3927.6044921875
2026-04-02 03:50:00+00:00,,,52519.94921875,25007.76953125,,,5235.64990234375,3927.6044921875
2026-04-02 03:55:00+00:00,,,52511.46875,25016.359375,,,5237.169921875,3927.6044921875
2026-04-02 04:00:00+00:00,,,52594.01171875,25016.359375,,,5239.02978515625,3927.6044921875
2026-04-02 04:05:00+00:00,,,52634.328125,25017.23046875,,,5253.5498046875,3927.6044921875
2026-04-02 04:10:00+00:00,,,52600.87890625,25017.23046875,,,5259.83984375,3927.6044921875
2026-04-02 04:15:00+00:00,,,52640.2109375,25017.23046875,,,5257.10009765625,3927.6044921875
2026-04-02 04:20:00+00:00,,,52536.16015625,25017.23046875,,,5255.89990234375,3927.6044921875
2026-04-02 04:25:00+00:00,,,52471.48828125,25017.23046875,,,5250.580078125,3927.6044921875
2026-04-02 04:30:00+00:00,,,52471.03125,25017.23046875,,,5258.14990234375,3927.6044921875
2026-04-02 04:35:00+00:00,,,52449.1015625,25017.23046875,,,5252.06982421875,3927.6044921875
2026-04-02 04:40:00+00:00,,,52472.23046875,25017.23046875,,,5253.41015625,3927.6044921875
2026-04-02 04:45:00+00:00,,,52481.12890625,25017.23046875,,,5250.85009765625,3927.6044921875
2026-04-02 04:50:00+00:00,,,52425.37890625,25017.23046875,,,5241.6201171875,3927.6044921875
2026-04-02 04:55:00+00:00,,,52450.21875,25017.23046875,,,5255.10009765625,3927.6044921875
2026-04-02 05:00:00+00:00,,,52468.05859375,24970.810546875,,,5259.1298828125,3920.711181640625
2026-04-02 05:05:00+00:00,,,52460.69921875,24945.919921875,,,5253.16015625,3917.210205078125
2026-04-02 05:10:00+00:00,,,52472.78125,24925.630859375,,,5257.33984375,3916.8427734375
2026-04-02 05:15:00+00:00,,,52424.921875,24911.580078125,,,5250.2900390625,3914.784912109375
2026-04-02 05:20:00+00:00,,,52434.08984375,24926.099609375,,,5241.830078125,3918.027587890625
2026-04-02 05:25:00+00:00,,,52487.6484375,24956.98046875,,,5233.509765625,3919.528564453125
2026-04-02 05:30:00+00:00,,,52446.76171875,24937.009765625,,,5224.06005859375,3918.01611328125
2026-04-02 05:35:00+00:00,,,52449.19921875,24939.69921875,,,5208.22998046875,3914.227783203125
2026-04-02 05:40:00+00:00,,,52413.48828125,24960.169921875,,,5206.990234375,3916.675048828125
2026-04-02 05:45:00+00:00,,,52293.4296875,24927.650390625,,,5191.6201171875,3915.012939453125
2026-04-02 05:50:00+00:00,,,52333.94921875,24928.330078125,,,5173.3798828125,3908.041259765625
2026-04-02 05:55:00+00:00,,,52273.1796875,24907.169921875,,,5172.56005859375,3904.37841796875
2026-04-02 06:00:00+00:00,,,52358.359375,24927.419921875,,,5172.56005859375,3900.116455078125
2026-04-02 06:05:00+00:00,,,52384.73828125,24935.7109375,,,5172.56005859375,3906.08251953125
2026-04-02 06:10:00+00:00,,,52365.94140625,24935.609375,,,5172.56005859375,3905.846923828125
2026-04-02 06:15:00+00:00,,,52444.83984375,24960.25,,,5172.56005859375,3914.668701171875
2026-04-02 06:20:00+00:00,,,52438.21875,24984.740234375,,,5172.56005859375,3917.442138671875
2026-04-02 06:25:00+00:00,,,52444.12109375,24983.2109375,,,5172.56005859375,3917.835693359375
2026-04-02 06:30:00+00:00,,,52444.12109375,24969.689453125,,,5172.56005859375,3914.989013671875
2026-04-02 06:35:00+00:00,,,52444.12109375,24967.349609375,,,5172.56005859375,3916.099365234375
2026-04-02 06:40:00+00:00,,,52444.12109375,24965.25,,,5172.56005859375,3914.17724609375
2026-04-02 06:45:00+00:00,,,52444.12109375,24966.599609375,,,5172.56005859375,3912.134521484375
2026-04-02 06:50:00+00:00,,,52444.12109375,24990.810546875,,,5172.56005859375,3915.8154296875
2026-04-02 06:55:00+00:00,,,52444.12109375,24985.66015625,,,5172.56005859375,3918.57275390625
2026-04-02 07:00:00+00:00,,,52444.12109375,25002.73046875,10304.5400390625,,5172.56005859375,3918.57275390625
2026-04-02 07:05:00+00:00,,,52444.12109375,25021.41015625,10293.3603515625,,5172.56005859375,3918.57275390625
2026-04-02 07:10:00+00:00,,,52444.12109375,25039.900390625,10298.5302734375,,5172.56005859375,3918.57275390625
2026-04-02 07:15:00+00:00,,,52444.12109375,25068.3203125,10305.990234375,,5172.56005859375,3918.57275390625
2026-04-02 07:20:00+00:00,,,52444.12109375,25071.470703125,10305.0498046875,,5172.56005859375,3918.57275390625
2026-04-02 07:25:00+00:00,,,52444.12109375,25089.890625,10318.75,,5172.56005859375,3918.57275390625
2026-04-02 07:30:00+00:00,,,52444.12109375,25060.7890625,10324.599609375,,5172.56005859375,3918.57275390625
2026-04-02 07:35:00+00:00,,,52444.12109375,25051.759765625,10333.6904296875,,5172.56005859375,3918.57275390625
2026-04-02 07:40:00+00:00,,,52444.12109375,25039.0390625,10334.4697265625,,5172.56005859375,3918.57275390625
2026-04-02 07:45:00+00:00,,,52444.12109375,25074.5,10349.3203125,,5172.56005859375,3918.57275390625
2026-04-02 07:50:00+00:00,,,52444.12109375,25082.240234375,10345.1396484375,,5172.56005859375,3918.57275390625
2026-04-02 07:55:00+00:00,,,52444.12109375,25097.740234375,10353.4501953125,,5172.56005859375,3918.57275390625
2026-04-02 08:00:00+00:00,,,52444.12109375,25096.990234375,10341.3896484375,,5172.56005859375,3918.57275390625
2026-04-02 08:05:00+00:00,,,52444.12109375,25116.529296875,10342.0,,5172.56005859375,3918.57275390625
2026-04-02 08:10:00+00:00,,,52444.12109375,25116.529296875,10340.8603515625,,5172.56005859375,3918.57275390625
2026-04-02 08:15:00+00:00,,,52444.12109375,25116.529296875,10342.3896484375,,5172.56005859375,3918.57275390625
2026-04-02 08:20:00+00:00,,,52444.12109375,25116.529296875,10351.3095703125,,5172.56005859375,3918.57275390625
2026-04-02 08:25:00+00:00,,,52444.12109375,25116.529296875,10351.419921875,,5172.56005859375,3918.57275390625
2026-04-02 08:30:00+00:00,,,52444.12109375,25116.529296875,10364.7998046875,,5172.56005859375,3918.57275390625
2026-04-02 08:35:00+00:00,,,52444.12109375,25116.529296875,10362.349609375,,5172.56005859375,3918.57275390625
2026-04-02 08:40:00+00:00,,,52444.12109375,25116.529296875,10361.7099609375,,5172.56005859375,3918.57275390625
2026-04-02 08:45:00+00:00,,,52444.12109375,25116.529296875,10362.9501953125,,5172.56005859375,3918.57275390625
2026-04-02 08:50:00+00:00,,,52444.12109375,25116.529296875,10364.8095703125,,5172.56005859375,3918.57275390625
2026-04-02 08:55:00+00:00,,,52444.12109375,25116.529296875,10366.849609375,,5172.56005859375,3918.57275390625
2026-04-02 09:00:00+00:00,,,52444.12109375,25116.529296875,10358.7099609375,,5172.56005859375,3918.57275390625
2026-04-02 09:05:00+00:00,,,52444.12109375,25116.529296875,10350.830078125,,5172.56005859375,3918.57275390625
2026-04-02 09:10:00+00:00,,,52444.12109375,25116.529296875,10342.8203125,,5172.56005859375,3918.57275390625
2026-04-02 09:15:00+00:00,,,52444.12109375,25116.529296875,10344.83984375,,5172.56005859375,3918.57275390625
2026-04-02 09:20:00+00:00,,,52444.12109375,25116.529296875,10349.2802734375,,5172.56005859375,3918.57275390625
2026-04-02 09:25:00+00:00,,,52444.12109375,25116.529296875,10351.4404296875,,5172.56005859375,3918.57275390625
2026-04-02 09:30:00+00:00,,,52444.12109375,25116.529296875,10347.98046875,,5172.56005859375,3918.57275390625
2026-04-02 09:35:00+00:00,,,52444.12109375,25116.529296875,10341.91015625,,5172.56005859375,3918.57275390625
2026-04-02 09:40:00+00:00,,,52444.12109375,25116.529296875,10346.0,,5172.56005859375,3918.57275390625
2026-04-02 09:45:00+00:00,,,52444.12109375,25116.529296875,10351.3095703125,,5172.56005859375,3918.57275390625
2026-04-02 09:50:00+00:00,,,52444.12109375,25116.529296875,10354.669921875,,5172.56005859375,3918.57275390625
2026-04-02 09:55:00+00:00,,,52444.12109375,25116.529296875,10355.599609375,,5172.56005859375,3918.57275390625
2026-04-02 10:00:00+00:00,,,52444.12109375,25116.529296875,10354.669921875,,5172.56005859375,3918.57275390625
2026-04-02 10:05:00+00:00,,,52444.12109375,25116.529296875,10353.66015625,,5172.56005859375,3918.57275390625
2026-04-02 10:10:00+00:00,,,52444.12109375,25116.529296875,10348.1396484375,,5172.56005859375,3918.57275390625
2026-04-02 10:15:00+00:00,,,52444.12109375,25116.529296875,10344.5302734375,,5172.56005859375,3918.57275390625
2026-04-02 10:20:00+00:00,,,52444.12109375,25116.529296875,10339.5498046875,,5172.56005859375,3918.57275390625
2026-04-02 10:25:00+00:00,,,52444.12109375,25116.529296875,10339.0302734375,,5172.56005859375,3918.57275390625
2026-04-02 10:30:00+00:00,,,52444.12109375,25116.529296875,10337.33984375,,5172.56005859375,3918.57275390625
2026-04-02 10:35:00+00:00,,,52444.12109375,25116.529296875,10334.6103515625,,5172.56005859375,3918.57275390625
2026-04-02 10:40:00+00:00,,,52444.12109375,25116.529296875,10342.51953125,,5172.56005859375,3918.57275390625
2026-04-02 10:45:00+00:00,,,52444.12109375,25116.529296875,10341.73046875,,5172.56005859375,3918.57275390625
2026-04-02 10:50:00+00:00,,,52444.12109375,25116.529296875,10338.16015625,,5172.56005859375,3918.57275390625
2026-04-02 10:55:00+00:00,,,52444.12109375,25116.529296875,10346.0703125,,5172.56005859375,3918.57275390625
2026-04-02 11:00:00+00:00,,,52444.12109375,25116.529296875,10354.4501953125,,5172.56005859375,3918.57275390625
2026-04-02 11:05:00+00:00,,,52444.12109375,25116.529296875,10348.5400390625,,5172.56005859375,3918.57275390625
2026-04-02 11:10:00+00:00,,,52444.12109375,25116.529296875,10345.1396484375,,5172.56005859375,3918.57275390625
2026-04-02 11:15:00+00:00,,,52444.12109375,25116.529296875,10341.0595703125,,5172.56005859375,3918.57275390625
2026-04-02 11:20:00+00:00,,,52444.12109375,25116.529296875,10338.990234375,,5172.56005859375,3918.57275390625
2026-04-02 11:25:00+00:00,,,52444.12109375,25116.529296875,10331.4296875,,5172.56005859375,3918.57275390625
2026-04-02 11:30:00+00:00,,,52444.12109375,25116.529296875,10329.1103515625,,5172.56005859375,3918.57275390625
2026-04-02 11:35:00+00:00,,,52444.12109375,25116.529296875,10323.400390625,,5172.56005859375,3918.57275390625
2026-04-02 11:40:00+00:00,,,52444.12109375,25116.529296875,10315.3095703125,,5172.56005859375,3918.57275390625
2026-04-02 11:45:00+00:00,,,52444.12109375,25116.529296875,10319.009765625,,5172.56005859375,3918.57275390625
2026-04-02 11:50:00+00:00,,,52444.12109375,25116.529296875,10327.419921875,,5172.56005859375,3918.57275390625
2026-04-02 11:55:00+00:00,,,52444.12109375,25116.529296875,10313.6904296875,,5172.56005859375,3918.57275390625
2026-04-02 12:00:00+00:00,,,52444.12109375,25116.529296875,10304.91015625,,5172.56005859375,3918.57275390625
2026-04-02 12:05:00+00:00,,,52444.12109375,25116.529296875,10294.76953125,,5172.56005859375,3918.57275390625
2026-04-02 12:10:00+00:00,,,52444.12109375,25116.529296875,10290.1103515625,,5172.56005859375,3918.57275390625
2026-04-02 12:15:00+00:00,,,52444.12109375,25116.529296875,10292.1904296875,,5172.56005859375,3918.57275390625
2026-04-02 12:20:00+00:00,,,52444.12109375,25116.529296875,10312.3701171875,,5172.56005859375,3918.57275390625
2026-04-02 12:25:00+00:00,,,52444.12109375,25116.529296875,10310.1396484375,,5172.56005859375,3918.57275390625
2026-04-02 12:30:00+00:00,,,52444.12109375,25116.529296875,10317.2998046875,,5172.56005859375,3918.57275390625
2026-04-02 12:35:00+00:00,,,52444.12109375,25116.529296875,10317.3603515625,,5172.56005859375,3918.57275390625
2026-04-02 12:40:00+00:00,,,52444.12109375,25116.529296875,10316.2998046875,,5172.56005859375,3918.57275390625
2026-04-02 12:45:00+00:00,,,52444.12109375,25116.529296875,10325.3896484375,,5172.56005859375,3918.57275390625
2026-04-02 12:50:00+00:00,,,52444.12109375,25116.529296875,10324.2900390625,,5172.56005859375,3918.57275390625
2026-04-02 12:55:00+00:00,,,52444.12109375,25116.529296875,10315.1103515625,,5172.56005859375,3918.57275390625
2026-04-02 13:00:00+00:00,,,52444.12109375,25116.529296875,10318.2099609375,,5172.56005859375,3918.57275390625
2026-04-02 13:05:00+00:00,,,52444.12109375,25116.529296875,10315.650390625,,5172.56005859375,3918.57275390625
2026-04-02 13:10:00+00:00,,,52444.12109375,25116.529296875,10310.650390625,,5172.56005859375,3918.57275390625
2026-04-02 13:15:00+00:00,,,52444.12109375,25116.529296875,10307.7998046875,,5172.56005859375,3918.57275390625
2026-04-02 13:20:00+00:00,,,52444.12109375,25116.529296875,10314.0,,5172.56005859375,3918.57275390625
2026-04-02 13:25:00+00:00,,,52444.12109375,25116.529296875,10315.650390625,,5172.56005859375,3918.57275390625
2026-04-02 13:30:00+00:00,,6493.93994140625,52444.12109375,25116.529296875,10337.5302734375,,5172.56005859375,3918.57275390625
2026-04-02 13:35:00+00:00,,6476.85986328125,52444.12109375,25116.529296875,10333.759765625,,5172.56005859375,3918.57275390625
2026-04-02 13:40:00+00:00,,6479.89013671875,52444.12109375,25116.529296875,10340.8095703125,,5172.56005859375,3918.57275390625
2026-04-02 13:45:00+00:00,,6494.080078125,52444.12109375,25116.529296875,10346.4501953125,,5172.56005859375,3918.57275390625
